,route,neighbourhood,sublocality,administrative_area,lat,long
0,,,Manhattan,New York County,40.761255,-73.9744834
1,West 57th Street,,Manhattan,New York County,40.7663935,-73.9809909
2,Sinclair Avenue,Woodrow,Woodrow,Richmond County,40.5418051,-74.1961086
3,East 55th Street,,Manhattan,New York County,40.7613979,-73.9746128
4,East 64th Street,,Manhattan,New York County,40.7672235,-73.9698561
5,Park Place,Crown Heights,Crown Heights,Kings County,40.6743632,-73.9587248
6,West 126th Street,,Manhattan,New York County,40.809448,-73.946777
7,Morrison Avenue,East Bronx,East Bronx,Bronx County,40.8215857,-73.8740892
8,Ocean Parkway,Midwood,Midwood,Kings County,40.6157378,-73.9696944
9,Grand Concourse,Concourse Village,Concourse Village,Bronx County,40.8248699,-73.9229829
10,Van Name Avenue,Mid Island,Mid Island,Richmond County,40.6249962,-74.1553058
11,85th Street,Jackson Heights,Jackson Heights,Queens County,40.7531191,-73.8818757
12,Lamont Avenue,Elmhurst,Elmhurst,Queens County,40.7438639,-73.8745722
13,Jane Street,,Manhattan,New York County,40.7382981,-74.0058899
14,Amboy Road,Annadale,Annadale,Richmond County,40.5406209,-74.1671632
15,Hobart Street,Flushing,Flushing,Queens County,40.7607676,-73.9056672
16,Ridge Boulevard,Fort Hamilton,Fort Hamilton,Kings County,40.6181029,-74.0369047
17,,,New York,,40.9073699,-73.9065578
18,Queens Boulevard,Rego Park,Rego Park,Queens County,40.7324713,-73.8670804
19,Clove Way,Castleton Corners,Castleton Corners,Richmond County,40.6207403,-74.1114362
20,71st Road,Forest Hills,Forest Hills,Queens County,40.7202429,-73.8430513
21,Ellsworth Avenue,East Bronx,East Bronx,Bronx County,40.8343936,-73.8221101
22,Cromwell Avenue,Dongan Hills,Dongan Hills,Richmond County,40.5902064,-74.0958034
23,Loretto Street,Tottenville,Tottenville,Richmond County,40.5039785,-74.2396555
24,85th Road,Briarwood,Briarwood,Queens County,40.710749,-73.809486
25,81st Street,Jackson Heights,Jackson Heights,Queens County,40.7505078,-73.8851355
26,Junction Boulevard,Jackson Heights,Jackson Heights,Queens County,40.7557689,-73.8734231
27,Hillside Avenue,Clifton,Clifton,Richmond County,40.6155667,-74.0869554
28,Hollywood Avenue,East Bronx,East Bronx,Bronx County,40.8242389,-73.8173809
29,Holiday Way,Mid Island,Mid Island,Richmond County,40.6210398,-74.1504313
30,Union Avenue,Mariners Harbor,Mariners Harbor,Richmond County,40.6274381,-74.1581613
31,Hinsdale Street,East New York,East New York,Kings County,40.6615475,-73.898309
32,Ocean Avenue,Midwood,Midwood,Kings County,40.6179165,-73.9546305
33,63rd Street,Dyker Heights,Dyker Heights,Kings County,40.6275896,-74.0016198
34,Kissena Boulevard,Flushing,Flushing,Queens County,40.7528774,-73.8211834
35,Berry Street,Williamsburg,Williamsburg,Kings County,40.711969,-73.9649468
36,Simon Court,Tottenville,Tottenville,Richmond County,40.5159256,-74.2361135
37,West Tremont Avenue,Morris Heights,Morris Heights,Bronx County,40.852813,-73.9176871
38,63rd Street,Mapleton,Mapleton,Kings County,40.614446,-73.9795824
39,91st Avenue,Woodhaven,Woodhaven,Queens County,40.688312,-73.856322
