,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
0,Condo for sale,315000,2,2.0,1400.0,40.761,-73.974,7.244941546337007,12.660331092405906,2.0,Manhattan,New York County
1,Condo for sale,195000000,7,10.0,17545.0,40.766,-73.981,9.113388845899733,16.929025911619092,10.0,Manhattan,New York County
2,House for sale,260000,4,2.0,2015.0,40.542,-74.196,7.60887062919126,12.468440756144114,2.0,Woodrow,Richmond County
3,Condo for sale,69000,3,1.0,445.0,40.761,-73.975,6.111467339502679,11.813037464800539,1.0,Manhattan,New York County
4,Townhouse for sale,55000000,7,2.3738608579684373,14175.0,40.767,-73.97,9.113388845899733,16.929025911619092,2.0,Manhattan,New York County
5,House for sale,690000,5,2.0,4004.0,40.674,-73.959,8.29529885950246,13.444448325847754,2.0,Crown Heights,Kings County
6,Condo for sale,899500,2,2.0,1100.0,40.809,-73.947,7.00397413672268,13.709595444100845,2.0,Manhattan,New York County
7,Co-op for sale,265000,1,1.0,750.0,40.822,-73.874,6.621405651764134,12.487488878546145,1.0,East Bronx,Bronx County
8,Co-op for sale,440000,2,1.0,978.0,40.616,-73.97,6.88653164253051,12.994532278619134,1.0,Midwood,Kings County
9,Co-op for sale,375000,2,1.0,850.0,40.825,-73.923,6.7464121285733745,12.834683971615659,1.0,Concourse Village,Bronx County
10,Townhouse for sale,689000,3,2.3738608579684373,1162.0,40.625,-74.155,7.0587581525186645,13.442998001373553,2.0,Mid Island,Richmond County
11,Co-op for sale,259000,3,1.0,900.0,40.753,-73.882,6.803505257608338,12.464587201678082,1.0,Jackson Heights,Queens County
12,Co-op for sale,430000,2,2.0,900.0,40.744,-73.875,6.803505257608338,12.971542813248437,2.0,Elmhurst,Queens County
13,Co-op for sale,895000,3,1.0,900.0,40.738,-74.006,6.803505257608338,13.704580114574805,1.0,Manhattan,New York County
14,Condo for sale,549000,2,2.0,1000.0,40.541,-74.167,6.90875477931522,13.215855541983634,2.0,Annadale,Richmond County
15,Townhouse for sale,975000,3,2.0,1734.0,40.761,-73.906,7.45876269238096,13.790193775620484,2.0,Flushing,Queens County
16,Co-op for sale,199000,3,1.0,325.0,40.618,-74.037,6.111467339502679,12.201065128819632,1.0,Fort Hamilton,Kings County
17,Co-op for sale,350000,1,1.0,700.0,40.907,-73.907,6.55250788703459,12.765691290604371,1.0,New York,
18,Condo for sale,599000,2,2.0,974.0,40.732,-73.867,6.882437470997847,13.303018546545275,2.0,Rego Park,Queens County
19,House for sale,639999,3,2.0,1260.0,40.621,-74.111,7.13966033596492,13.369223455335854,2.0,Castleton Corners,Richmond County
20,Condo for sale,1300000,2,2.0,1244.0,40.72,-73.843,7.126890808898808,14.077875591662238,2.0,Forest Hills,Queens County
21,Multi-family home for sale,1100000,6,3.0,2837.0,40.834,-73.822,7.950854857719988,13.910821646859095,3.0,East Bronx,Bronx County
22,Condo for sale,349900,1,1.0,651.0,40.59,-74.096,6.480044561926653,12.765405536311112,1.0,Dongan Hills,Richmond County
23,House for sale,750000,2,2.0,1330.0,40.504,-74.24,7.193685818395112,13.527829818844937,2.0,Tottenville,Richmond County
